"hashtag","extracted_location","positive","negative","neutral","trust","anticipation","fear","sadness","joy","anger","suprise","disgust","total_positive","total_negative"
"#1...",NA,0,1,0,0,0,1,1,0,1,1,0,1,3
"#1...Thanks",NA,1,1,0,1,2,0,0,1,0,1,1,4,4
"#1.5",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#1:",NA,2,6,0,0,0,3,6,0,4,0,1,2,16
"#10000","united states",1,1,0,1,1,0,1,1,0,0,0,3,3
"#100DaysOfCode","united states",0,1,0,0,0,0,1,0,1,0,1,0,3
"#100milliondoses","united states",1,0,0,1,0,0,0,0,0,0,0,2,0
"#107.1MillionVaccinatedUs.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#11thHour","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#13Feb",NA,6,0,0,0,0,0,0,3,0,0,0,9,0
"#14days","united states",0,0,0,0,0,1,0,0,0,0,0,0,1
"#14defebrero",NA,6,0,0,0,0,0,0,3,0,0,0,9,0
"#15",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#15Mar|","slovakia",1,2,0,0,1,1,0,1,0,1,0,3,4
"#1700",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#1860","ireland republic",37,0,0,0,0,0,0,0,0,0,0,37,0
"#18febbraio",NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"#19marzo",NA,0,1,0,0,0,1,0,0,0,0,0,0,2
"#1Corinthians6",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#1down1togo","united states",3,0,0,2,2,0,0,2,0,0,0,7,2
"#1down1togo",NA,4,1,0,3,3,1,1,3,1,4,1,14,7
"#1PHASD",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#1shot",NA,1,2,0,0,1,1,1,0,1,1,0,2,5
"#1st","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#1stdose","egypt",1,0,0,0,0,0,0,0,0,0,0,1,0
"#1stdose","united kingdom",1,0,0,0,0,0,0,0,0,0,0,1,0
"#1stdose",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#1stdosedone","united kingdom",1,0,0,1,1,0,0,1,0,1,0,4,1
"#1stshot","united states",0,1,0,0,0,2,1,0,1,1,1,1,5
"#1stshot",NA,0,1,1,0,1,0,0,0,0,0,0,0,2
"#1stShot",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#1stshotdone",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#1stVaccine","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#1YearOfWalls.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#1YearWithMOTS7",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#2","india",3,2,0,0,0,1,1,0,1,0,0,3,4
"#2","israel",0,0,0,0,0,1,0,0,0,0,0,0,1
"#2","lebanon",0,0,1,0,0,0,0,0,0,0,0,0,0
"#2","united states",23,15,2,5,7,13,14,8,10,9,4,45,53
"#2",NA,48,26,7,23,22,22,21,19,18,20,10,110,101
"#2-",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#2!",NA,5,0,0,2,1,0,0,1,0,0,0,8,1
"#2!!",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#2!!!","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#2!!!!","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#2,","united states",1,1,0,0,0,0,0,0,0,0,0,1,1
"#2,",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#2.","united states",2,4,0,1,2,5,4,0,3,3,0,6,15
"#2.",NA,7,9,2,3,3,5,7,1,5,4,1,15,25
"#2..","united states",2,3,0,1,1,2,1,1,1,1,1,5,8
"#2...","united states",1,0,0,0,0,1,0,0,0,0,0,1,1
"#2...",NA,1,3,0,1,0,1,2,0,1,0,0,2,6
"#2.....holy",NA,2,1,0,0,0,0,0,0,0,0,1,2,2
"#2/25/21,",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#2:","united kingdom",2,3,0,1,1,3,2,1,2,1,2,5,11
"#2:","united states",2,1,0,0,0,0,0,0,0,0,0,2,1
"#2:",NA,1,3,0,0,0,0,3,0,2,0,1,1,7
"#200",NA,2,0,0,1,1,0,0,1,0,1,0,5,1
"#200MillionVaccine","united states",0,1,0,0,0,0,1,0,0,0,0,0,2
"#2015_nuclear_deal","pakistan",2,0,0,2,1,0,0,2,0,1,0,7,1
"#2021","united states",4,1,1,0,0,1,0,0,1,0,1,4,3
"#2021",NA,1,0,0,1,1,0,0,1,0,0,0,3,1
"#2021.",NA,2,0,0,2,1,0,0,2,0,2,0,8,1
"#2021challenge","united states",1,1,0,1,1,1,0,1,1,1,0,4,3
"#2021MMM",NA,1,0,0,1,1,0,0,0,0,0,0,2,1
"#2021predictions:","united states",1,1,0,0,0,0,0,0,0,0,0,1,1
"#2021SummerOlympics",NA,2,0,0,1,0,0,0,0,0,0,0,3,0
"#2023",NA,1,0,0,1,1,0,0,1,0,1,1,4,2
"#21daysnot12weeks","united kingdom",1,0,0,1,1,0,0,1,0,1,0,4,1
"#21th_century",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#222nm",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#22dicembre",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#24hourcheck","united states",1,3,0,1,1,3,3,1,3,3,1,6,11
"#24hours","united states",0,1,0,0,0,0,0,0,0,0,0,0,1
"#25ValentinesWithJaehyun",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#28DaysNot12weeks",NA,2,3,0,1,0,1,2,0,0,0,0,3,6
"#28daystogo",NA,2,1,0,0,0,1,1,0,1,1,0,3,3
"#2dose","united states",0,3,0,0,1,0,2,0,0,0,0,0,6
"#2Jabs.","united kingdom",1,0,0,0,0,0,0,0,0,0,0,1,0
"#2nd","united states",1,1,0,0,0,1,1,0,0,1,0,2,3
"#2nd",NA,2,0,1,1,1,0,0,1,0,0,0,4,1
"#2ndcovidvaccine.",NA,0,4,0,0,0,2,2,0,1,0,2,0,10
"#2nddose","united states",2,0,1,0,0,0,0,1,0,0,0,3,0
"#2nddose",NA,2,2,0,0,0,1,1,0,1,0,0,2,4
"#2ndDose","united states",2,1,1,0,1,2,0,1,0,0,0,3,4
"#2ndDose",NA,3,3,1,2,3,3,2,1,2,3,1,9,12
"#2ndJab","united kingdom",1,0,0,0,0,0,0,0,0,0,0,1,0
"#2ndshot","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#2ndshot",NA,0,1,0,0,0,0,1,0,1,0,0,0,2
"#2ndShot","united states",4,1,0,2,1,1,1,2,1,2,0,10,4
"#2ndvaccine",NA,1,1,0,1,1,0,0,1,0,1,0,4,2
"#3.5%",NA,2,0,0,1,2,0,0,2,0,1,0,6,2
"#302Squadron","united states",0,1,0,0,0,1,0,0,1,0,0,0,2
"#32hrssleep",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#3Things,","india",1,0,0,0,1,0,0,0,0,0,0,1,1
"#3ThingstoKnow",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#4","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#400MillionVaccineDosesBySummer","united states",1,0,0,1,1,0,0,1,0,1,0,4,1
"#42","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#45yrs?","india",1,1,0,1,1,1,1,1,1,2,1,5,5
"#48hourcheck","united states",1,2,0,1,1,2,2,1,2,2,1,5,8
"#498A",NA,0,1,0,1,0,0,0,0,0,0,0,1,1
"#4EverFLOTUS??",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#500KDeaths","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#501pharmacy",NA,0,0,0,0,1,0,0,0,0,0,0,0,1
"#501Y.V2","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#501YV1",NA,3,0,0,0,1,0,0,0,0,0,0,3,1
"#501YV1.",NA,3,1,0,1,0,1,0,0,0,0,1,4,3
"#501YV2",NA,3,1,0,0,1,1,1,0,0,0,0,3,4
"#501YV2+#501YV3,",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#50yearold",NA,1,1,0,0,0,0,0,0,0,0,1,1,2
"#5G","united kingdom",1,0,0,1,0,0,0,0,0,0,0,2,0
"#5G",NA,0,0,0,1,1,0,0,0,0,0,0,1,1
"#5gennaio",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#5iveLive","india",1,0,0,0,0,0,0,0,0,0,0,1,0
"#65DOLLAR","france",2,2,0,0,0,0,0,0,1,0,1,2,3
"#6PMPrime","india",0,1,0,0,0,1,1,0,1,1,0,1,3
"#72hourcheck","united states",0,1,0,0,0,1,1,0,1,1,0,1,3
"#8",NA,1,0,0,0,1,0,0,1,0,0,0,2,1
"#80stheme","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#9",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#9999.","japan",0,0,1,0,0,0,0,0,0,0,0,0,0
"#9999feelsun","japan",0,0,1,0,0,0,0,0,0,0,0,0,0
"#AadharCard","india",0,1,0,0,1,1,0,0,1,0,0,0,3
"#AajKiBaat","india",0,1,0,0,1,1,0,0,2,0,0,0,3
"#AAMU",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#aamu_rys21",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#AAPL",NA,0,1,1,0,1,0,0,0,0,0,0,0,2
"#AarogyaSetu",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Aatmanirbhar",NA,4,1,0,2,1,1,1,1,1,1,1,8,5
"#AatmanirbharBharat","india",11,1,1,4,0,1,1,6,1,2,0,23,3
"#AatmanirbharBharat","lebanon",0,0,1,0,0,0,0,0,0,0,0,0,0
"#AatmanirbharBharat",NA,7,0,3,5,1,0,0,3,1,0,0,15,1
"#AatmaNirbharBharat","india",2,1,0,2,1,1,1,2,1,1,0,7,4
"#AatmanirbharBharat,","india",2,0,0,1,1,0,0,1,0,0,0,4,1
"#AatmanirbharBharat.","india",8,2,0,4,0,2,2,4,2,4,0,20,6
"#AatmanirbharBharat.",NA,4,1,0,2,0,1,1,2,1,2,0,10,3
"#AatmanirbharBharatVaccine",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#AatmnirbharBharat",NA,0,1,0,1,0,1,1,0,0,0,0,1,3
"#AB","united states",1,2,0,0,1,0,0,0,0,0,0,1,3
"#AB",NA,0,3,0,0,0,1,2,0,0,0,1,0,7
"#AbbottFailedTexas",NA,1,1,0,0,0,1,1,0,1,1,0,2,3
"#abc730",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#ABCNews","united states",0,0,2,0,0,0,0,0,0,0,0,0,0
"#Abidjan.","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#AbingtonParkMedicalCentre!","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#ableg.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Abortion-dodge",NA,0,1,0,0,0,1,1,0,0,0,1,0,4
"#abpoli","united states",2,0,0,2,1,0,0,1,0,1,0,6,1
"#abpoli",NA,2,0,0,1,0,0,0,0,0,1,0,4,0
"#Abroad","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#abstractart",NA,2,0,0,0,1,0,1,2,0,1,0,5,2
"#AbuDhabi",NA,1,1,0,2,0,0,0,1,1,0,0,4,1
"#AC",NA,1,0,0,1,1,0,0,0,0,0,0,2,1
"#Acceptance","united kingdom",2,1,0,0,1,0,0,0,0,1,0,3,2
"#Acceptance","united states",4,2,0,0,2,0,0,0,0,2,0,6,4
"#Acceptance",NA,2,1,0,0,1,0,0,0,0,1,0,3,2
"#accine",NA,1,1,0,1,0,0,0,1,0,0,0,3,1
"#achievement",NA,2,0,0,1,1,0,0,1,0,0,0,4,1
"#ACIP",NA,5,0,1,1,1,0,1,0,0,0,0,6,2
"#acne",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ACRX",NA,1,0,0,1,1,0,0,0,0,0,0,2,1
"#active","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#actress",NA,2,0,0,0,1,0,0,2,0,0,0,4,1
"#actress,","united states",2,0,0,0,0,0,1,2,0,0,0,4,1
"#Acuitas","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#AdamBuxton's",NA,0,0,0,0,0,0,0,0,1,0,0,0,0
"#adchoicetvnews",NA,0,2,0,0,0,1,1,0,1,1,0,1,4
"#AddHawk:",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Adenovirus",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#AdenovirusVaccine","united kingdom",0,0,0,0,0,0,0,0,1,0,0,0,0
"#Adienne","united states",9,7,0,7,0,7,0,0,0,0,0,16,14
"#AdiennePharma",NA,2,0,0,0,1,0,0,0,0,0,0,2,1
"#ADJT",NA,0,1,0,0,0,0,1,0,0,0,0,0,2
"#administered.","zimbabwe",1,0,0,1,0,1,1,0,1,0,0,2,2
"#admiration,",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#AdmissionsDirector",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#adolescents","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#AdolfHitler",NA,0,1,0,0,1,1,1,0,1,0,1,0,5
"#adr",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#AdultsInTheRoom","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#adverse_effects_reports",NA,1,1,0,1,1,1,1,1,1,1,2,4,6
"#AdverseEvent","united states",1,0,0,1,0,0,0,0,0,0,0,2,0
"#AdverseEvent",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#adversereaction",NA,2,0,0,1,1,0,0,1,0,1,0,5,1
"#adversereaction.","united states",4,2,0,1,1,1,1,0,0,0,1,5,6
"#adversereactions","united kingdom",1,1,0,1,0,1,0,0,0,1,0,3,2
"#AdverseReactions",NA,0,1,0,0,0,1,1,0,0,0,0,0,3
"#AdverseReactions,",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#advertisements.","italy",1,0,0,0,0,0,0,0,0,0,0,1,0
"#adviser","italy",2,0,0,1,0,0,0,0,0,0,0,3,0
"#advisory","netherlands",2,1,0,2,2,0,1,2,1,1,0,7,4
"#AEFI","india",0,1,0,0,0,1,1,0,1,0,1,0,4
"#AEFI",NA,0,1,0,0,0,1,1,0,1,0,1,0,4
"#AEFI.","india",1,1,0,0,0,1,0,0,0,0,0,1,2
"#AEM.",NA,0,1,0,1,0,0,0,0,0,0,0,1,1
"#AerolineasArgentinas,",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#aezs",NA,2,0,0,1,1,0,0,0,0,0,0,3,1
"#af","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#affordablevaccine4all",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Afghan","india",1,0,0,0,1,0,0,0,0,0,0,1,1
"#Afghanistan","afghanistan",2,1,0,2,0,0,0,0,0,0,0,4,1
"#Afghanistan","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Afghanistan",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Afghanistan,","afghanistan",3,0,0,1,0,0,0,0,0,0,0,4,0
"#Afghanistan,","china",6,0,0,4,0,0,0,0,0,0,0,10,0
"#Afghanistan,",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Afghanistan.","afghanistan",1,0,0,0,0,0,0,0,0,0,0,1,0
"#AfNeedsVaccine",NA,1,0,0,1,2,0,0,1,0,1,0,4,2
"#AFP","jordan",1,0,0,0,0,0,0,0,0,0,0,1,0
"#AFP",NA,4,0,0,3,3,1,0,0,0,0,0,7,4
"#AFP.",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#africa","portugal",1,0,1,0,0,1,0,1,0,0,0,2,1
"#africa","united kingdom",5,0,5,0,0,5,0,5,0,0,0,10,5
"#africa",NA,2,0,2,0,0,2,0,2,0,0,0,4,2
"#Africa","china",1,0,0,0,1,0,0,0,0,0,0,1,1
"#Africa","india",1,0,1,0,0,0,0,0,0,0,0,1,0
"#Africa","united states",4,1,3,2,1,1,1,3,1,0,1,9,5
"#Africa",NA,7,5,2,2,3,2,2,3,2,2,0,14,12
"#Africa.","united states",1,1,0,1,1,1,0,1,0,0,1,3,4
"#Africa.",NA,3,2,2,2,2,2,2,2,0,4,0,11,8
"#African","india",4,0,0,2,0,0,0,0,0,0,0,6,0
"#African","serbia",2,0,0,0,1,0,0,0,0,0,0,2,1
"#African","united kingdom",1,0,0,0,0,0,0,0,0,0,0,1,0
"#African","united states",3,0,0,1,1,0,0,0,0,0,0,4,1
"#African",NA,3,0,0,0,1,0,0,0,0,0,0,3,1
"#Africancountry","portugal",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Africancountry","united kingdom",0,0,5,0,0,0,0,0,0,0,0,0,0
"#Africancountry",NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"#AfricanUnion","united kingdom",1,0,0,1,1,0,0,1,1,0,0,3,1
"#AfricanUnion","united states",2,0,0,1,1,0,0,1,0,0,0,4,1
"#AfricanUnion",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#Afrique",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#AFTER",NA,2,0,0,0,1,0,0,0,0,0,0,2,1
"#Age.",NA,3,0,0,2,2,0,0,2,0,1,0,8,2
"#AgedP",NA,1,2,0,1,1,1,2,1,1,0,1,3,7
