"hashtag","extracted_location","positive","negative","neutral","trust","anticipation","fear","sadness","joy","anger","suprise","disgust","total_positive","total_negative"
"#CDNpoli.",NA,2,0,0,1,1,0,0,1,0,1,0,5,1
"#cdnpse",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#CDNtodayNews","mexico",1,1,0,0,0,0,0,0,0,0,0,1,1
"#CDSCO","india",1,0,0,0,1,0,0,0,0,0,0,1,1
"#CDUKorruption",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#CDUKorruption.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#cebu",NA,0,1,0,1,1,1,0,0,0,0,0,1,3
"#celebrate",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#celebrity","italy",2,2,0,1,1,1,0,1,2,1,1,5,5
"#CelebsOrTVShowsThatSmell.",NA,1,1,0,0,0,1,0,0,0,0,0,1,2
"#celofaremo",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#cement","india",0,1,0,1,1,0,0,0,0,0,0,1,2
"#cemre",NA,0,1,0,0,1,1,1,0,1,1,1,1,5
"#censors","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Censorship","united states",0,0,13,0,0,0,0,0,0,0,0,0,0
"#CentraAmerica",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#CentralAfricainRepublic",NA,1,1,0,0,0,0,0,0,1,0,0,1,1
"#CentralAsia","kazakhstan",0,0,1,0,0,0,0,0,0,0,0,0,0
"#CentralPark",NA,0,1,0,0,0,1,1,0,1,0,1,0,4
"#Centre",NA,4,0,0,1,1,1,0,1,0,0,0,6,2
"#Centre's","india",0,0,0,1,0,0,0,0,0,0,0,1,0
"#CEO",NA,0,2,1,1,1,0,0,0,1,1,0,2,3
"#CeoOfMe",NA,2,0,0,1,1,0,0,1,0,0,0,4,1
"#certificates","italy",2,0,0,1,0,0,0,0,0,0,0,3,0
"#cfund,","united states",1,0,0,1,1,0,0,0,0,0,0,2,1
"#CGBudget2021","india",2,1,0,0,1,0,0,1,0,1,0,4,2
"#CGBudget2021",NA,2,0,9,1,1,0,0,1,0,0,0,4,1
"#CGBudget2021.","india",1,0,1,0,0,0,0,0,0,0,0,1,0
"#CGHS",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#cghs.","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#ChAdOx1","united states",1,0,0,2,1,0,0,1,1,1,0,5,1
"#ChadwickBoseman",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#chakravyuh",NA,1,2,0,0,0,1,0,0,1,0,1,1,4
"#Chance",NA,2,0,0,0,1,0,0,1,0,3,0,6,1
"#Chancellors.",NA,2,0,0,1,1,0,0,1,0,0,0,4,1
"#Chandigarh","india",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Channel9","united states",0,2,0,1,1,0,0,0,1,0,2,1,5
"#ChardiKalan","india",0,1,0,1,0,0,1,0,1,0,2,1,4
"#CharlesMichel",NA,0,2,0,0,0,1,1,0,1,0,1,0,5
"#Charleston",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Charlottesville","united states",0,1,0,0,0,1,1,0,1,1,0,1,3
"#chart",NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"#CHASE",NA,0,1,0,0,1,0,0,0,0,0,0,0,2
"#chattisgarh","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chattisgarh","india",1,0,0,0,0,0,0,0,0,0,0,1,0
"#cheers","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#CheersTodayToThe1stDose",NA,1,0,0,1,1,0,0,1,0,1,0,4,1
"#Chelsea.","bangladesh",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chemistry","india",1,0,0,1,2,0,0,1,0,0,0,3,2
"#CHEMUN",NA,1,1,0,0,0,1,0,0,0,0,0,1,2
"#chennai","india",3,0,0,0,0,0,0,0,0,0,0,3,0
"#Chennai","india",6,2,0,1,0,0,0,0,0,0,2,7,4
"#Chennai",NA,2,0,0,3,0,0,0,0,0,0,0,5,0
"#Chennai.","india",1,1,0,1,0,0,0,0,0,0,0,2,1
"#Chennai.",NA,0,0,0,0,0,0,0,0,1,0,0,0,0
"#Chertsey,","israel",3,0,0,2,1,1,1,0,0,0,0,5,3
"#Chhattisgarh","india",6,5,4,4,1,2,2,1,0,1,2,12,12
"#Chhattisgarh",NA,3,2,2,2,0,3,2,1,1,0,0,6,7
"#CHHATTISGARH",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chhattisgarh|,","qatar",0,1,0,0,0,1,1,0,1,1,0,1,3
"#CHI.",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#chicago","united states",2,1,0,1,0,1,1,0,1,1,0,4,3
"#Chicago",NA,1,0,0,1,0,1,1,0,0,0,0,2,2
"#Chicago..",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#ChiefJustice",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#chiefjusticeofindia",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#child",NA,4,0,0,2,2,1,0,3,0,0,0,9,3
"#ChildAbuse","united states",2,0,0,0,1,0,0,1,0,1,0,4,1
"#childcare","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#children","ireland republic",1,0,0,0,1,0,0,0,0,0,0,1,1
"#children","united states",12,0,1,0,4,0,0,4,0,4,0,20,4
"#children",NA,8,0,2,1,2,0,1,0,0,1,0,10,3
"#Children","india",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Children","pakistan",2,0,0,2,0,1,1,0,0,0,0,4,2
"#Children","sri lanka",1,0,0,0,1,0,0,0,0,0,0,1,1
"#Children","united states",3,0,0,0,1,0,0,1,0,1,0,5,1
"#Children","venezuela",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Children",NA,3,0,0,1,1,1,0,1,0,0,0,5,2
"#children.","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#children.",NA,2,0,0,0,1,0,0,1,0,1,0,4,1
"#CHILDREN:",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#ChildrenHealth","united states",1,2,0,0,2,2,2,0,1,0,0,1,8
"#Chile","chile",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Chile","china",3,0,0,0,0,0,0,0,0,0,0,3,0
"#Chile","qatar",1,0,0,1,2,0,0,1,0,1,0,4,2
"#Chile",NA,12,1,0,2,2,1,1,2,1,2,0,18,5
"#Chile's","philippines",3,0,0,1,0,0,0,0,0,0,0,4,0
"#Chile's",NA,8,0,0,3,0,0,0,0,0,0,0,11,0
"#chills",NA,2,2,1,0,0,3,1,0,0,0,0,2,6
"#Chills",NA,1,1,0,0,1,1,0,1,0,0,0,2,3
"#Chimanimani",NA,5,5,0,1,2,1,1,2,1,1,1,9,10
"#china","india",1,2,0,0,0,2,0,0,2,0,0,1,4
"#china","united arab emirates",4,1,0,2,3,2,0,1,0,0,0,7,6
"#china","united kingdom",6,6,0,6,0,6,6,0,6,6,0,18,18
"#china","united states",1,2,1,0,1,3,2,0,1,0,1,1,9
"#china",NA,4,3,2,0,2,2,1,0,2,1,1,5,9
"#China","afghanistan",3,1,0,2,0,0,0,0,0,0,0,5,1
"#China","bangladesh",2,1,0,0,0,1,1,0,1,1,0,3,3
"#China","belgium",0,1,0,0,0,1,1,0,1,0,1,0,4
"#China","china",43,9,1,11,11,3,1,3,1,2,0,59,24
"#China","czech republic",2,1,0,1,0,0,0,0,0,0,0,3,1
"#China","france",4,0,0,1,1,0,0,0,0,0,0,5,1
"#China","india",10,2,5,3,3,1,0,1,0,1,0,15,6
"#China","indonesia",2,0,0,1,0,0,0,1,0,0,0,4,0
"#China","iran",0,0,1,0,0,0,0,0,0,0,0,0,0
"#China","italy",2,0,0,1,0,0,0,0,0,0,0,3,0
"#China","lebanon",0,0,1,0,0,0,0,0,0,0,0,0,0
"#China","malaysia",7,1,0,3,2,1,0,0,1,0,0,10,4
"#China","nepal",3,0,0,1,0,0,0,0,0,0,0,4,0
"#China","pakistan",19,1,0,2,6,1,0,3,1,3,0,27,8
"#China","qatar",1,0,0,0,1,0,0,0,0,0,0,1,1
"#China","saudi arabia",1,0,0,0,1,0,0,0,0,0,0,1,1
"#China","serbia",2,0,0,0,0,0,0,0,0,0,0,2,0
"#China","sierra leone",0,0,1,0,0,0,0,0,0,0,0,0,0
"#China","singapore",1,1,0,0,1,0,0,0,0,0,0,1,2
"#China","sri lanka",1,1,0,0,0,1,1,0,0,1,0,2,3
"#China","united arab emirates",0,0,1,0,0,0,0,0,0,0,0,0,0
"#China","united kingdom",4,5,0,2,0,3,0,1,1,0,0,7,8
"#China","united states",13,4,3,3,4,3,2,2,2,2,2,20,15
"#China","zimbabwe",7,0,0,1,3,0,0,0,1,1,1,9,4
"#China",NA,113,46,14,39,28,28,22,15,18,22,6,189,130
"#CHINA","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#CHINA",NA,4,1,0,0,1,0,0,0,1,0,0,4,2
"#China'.","india",4,0,0,0,0,0,0,0,0,0,0,4,0
"#China's","china",119,17,12,40,30,15,10,20,2,16,0,195,72
"#China's","czech republic",1,0,0,0,0,0,0,0,0,0,0,1,0
"#China's","france",2,0,0,0,1,0,0,0,0,0,0,2,1
"#China's","india",17,7,0,3,3,6,6,1,1,7,0,28,22
"#China's","indonesia",6,0,0,1,3,1,0,1,0,0,0,8,4
"#China's","israel",3,0,0,3,2,1,1,0,0,0,0,6,4
"#China's","lebanon",4,0,0,1,1,0,0,1,0,1,0,7,1
"#China's","malaysia",1,0,0,0,0,0,0,0,0,0,0,1,0
"#China's","nepal",2,1,0,1,0,1,1,0,0,1,0,4,3
"#China's","netherlands",5,2,0,2,1,1,0,1,0,0,0,8,4
"#China's","pakistan",3,0,0,0,0,0,0,1,0,0,0,4,0
"#China's","philippines",3,0,0,0,1,0,0,0,0,0,0,3,1
"#China's","qatar",6,0,0,3,3,0,0,1,0,1,0,11,3
"#China's","singapore",2,1,0,1,1,0,0,0,0,0,0,3,2
"#China's","united kingdom",2,0,0,1,0,0,0,1,0,0,0,4,0
"#China's","united states",18,1,2,2,4,2,1,2,1,2,0,24,8
"#China's","venezuela",1,0,0,0,0,0,0,0,0,0,0,1,0
"#China's",NA,60,19,5,18,20,16,11,9,12,10,3,97,69
"#China's.","china",11,3,0,3,2,2,2,0,2,1,1,15,10
"#China's.","pakistan",4,1,0,3,0,1,1,0,0,0,0,7,3
"#China's.",NA,4,2,0,2,0,0,0,0,0,0,0,6,2
"#China-donated","china",6,1,2,0,1,0,0,0,0,0,0,6,2
"#China-donated",NA,4,0,1,0,0,0,0,1,0,1,0,6,0
"#China-donated.","china",1,1,0,1,1,1,0,0,0,0,0,2,3
"#China-made","china",2,2,0,0,1,0,0,0,0,0,0,2,3
"#China-made","pakistan",2,0,0,1,1,0,0,1,0,0,0,4,1
"#China-made",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#China,","china",2,0,0,0,0,0,0,0,0,0,0,2,0
"#China,","indonesia",2,0,0,1,1,0,0,1,0,1,0,5,1
"#China,","iran",1,0,0,0,0,0,0,0,0,0,0,1,0
"#China,","thailand",0,0,1,0,0,0,0,0,0,0,0,0,0
"#China,","united arab emirates",2,0,0,1,1,0,0,1,0,0,0,4,1
"#China,","united states",2,0,0,0,2,0,0,0,0,0,0,2,2
"#China,",NA,4,0,0,0,1,0,0,1,0,1,0,6,1
"#China,&amp;",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#China,how",NA,4,2,0,1,1,1,0,2,0,0,0,7,4
"#China.","china",6,0,1,0,0,0,0,0,0,0,0,6,0
"#China.","india",6,0,0,2,2,0,0,0,0,0,0,8,2
"#China.","pakistan",3,0,1,1,1,0,0,0,0,0,0,4,1
"#China.","serbia",2,0,0,2,0,1,0,0,0,0,0,4,1
"#China.","thailand",0,0,1,0,0,0,0,0,0,0,0,0,0
"#China.","united states",5,0,0,4,1,0,0,3,1,1,0,13,1
"#China.",NA,21,1,4,6,3,0,0,1,0,1,0,29,4
"#China.....",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#China:",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#CHINA:",NA,2,0,0,0,0,0,0,0,0,0,0,2,0
"#China??.",NA,0,1,0,1,0,1,1,0,1,0,1,1,4
"#ChinaCOVID19Tracker,","china",0,0,2,0,1,0,0,0,0,0,0,0,1
"#ChinaCOVID19Tracker:","china",1,0,3,0,0,0,0,0,0,0,0,1,0
"#ChinaExposed","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#chinagovernment",NA,1,1,0,0,0,1,0,0,0,0,0,1,2
"#ChinaLiedPeopleDied",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ChinaLiedPeopleDied.",NA,0,1,0,0,0,0,0,0,0,0,0,0,1
"#ChinaSetupFirewallforJunta",NA,0,1,1,0,0,0,0,0,0,0,0,0,1
"#ChinaSinoVac",NA,0,1,0,0,0,0,1,0,0,0,0,0,2
"#chinavaccine",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chinavaccine",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ChinaVaccine","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chinavaccine,","hungary",0,0,1,0,0,0,0,0,0,0,0,0,0
"#chinavirus",NA,2,0,1,0,0,0,0,0,0,0,0,2,0
"#Chinavirus",NA,2,1,0,0,1,1,1,0,0,0,0,2,4
"#ChinaVirus","philippines",0,0,1,0,0,0,0,0,0,0,0,0,0
"#ChinaVirus","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#ChinaVirus",NA,0,2,2,0,0,0,0,0,0,0,0,0,2
"#CHINAVIRUS","philippines",1,0,0,2,0,1,0,0,0,0,0,3,1
"#ChinaVirusVaccine",NA,0,1,0,0,0,1,1,0,1,1,0,1,3
"#Chinazis","china",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chine",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#chinese",NA,1,0,0,0,0,0,0,0,0,1,0,2,0
"#Chinese","albania",0,1,0,0,1,1,0,0,0,0,0,0,3
"#Chinese","bangladesh",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Chinese","china",4,1,0,1,2,1,0,0,0,0,0,5,4
"#Chinese","hungary",0,0,1,0,0,0,0,0,1,0,0,0,0
"#Chinese","india",6,1,0,0,1,1,1,0,1,1,0,7,4
"#Chinese","ireland republic",1,0,0,1,1,0,0,1,0,1,0,4,1
"#Chinese","pakistan",0,0,0,0,1,0,0,0,0,0,0,0,1
"#Chinese","sri lanka",8,2,0,4,2,4,0,0,0,0,0,12,8
"#Chinese","united states",5,2,0,4,1,1,1,0,0,0,1,9,6
"#Chinese",NA,26,7,0,9,2,3,2,3,4,1,1,39,15
"#Chinese-made","india",5,0,0,0,0,0,0,0,0,0,0,5,0
"#Chinese-Made","united states",1,0,1,0,0,0,0,0,0,0,0,1,0
"#Chinese),",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#Chinese,",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chinese.",NA,1,0,0,0,0,0,0,1,0,0,0,2,0
"#ChineseDebtTrap",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ChineseProducts.",NA,0,1,0,0,0,0,0,0,0,0,1,0,2
"#chinesevaccine",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Chinesevaccine",NA,1,1,1,0,0,1,0,0,1,1,0,2,2
"#ChineseVaccine","hungary",1,0,0,0,0,0,0,0,0,0,0,1,0
"#ChineseVaccine",NA,4,1,0,0,2,1,1,1,2,2,1,7,6
"#ChineseVaccines","united states",1,0,0,1,1,0,0,1,0,1,0,4,1
"#ChineseVirus","india",1,0,0,0,0,0,0,0,0,0,0,1,0
"#ChineseVirus",NA,11,6,5,4,2,4,5,1,1,1,0,17,17
"#ChineseVirus,",NA,2,0,0,1,0,0,0,0,0,0,0,3,0
"#ChineseVirus.","india",0,1,0,0,1,1,0,0,1,0,0,0,3
"#ChineseVirus.",NA,0,0,0,0,1,0,0,0,0,1,0,1,1
"#chini","india",1,2,0,0,0,2,0,0,2,0,0,1,4
"#Chioma","ghana",1,0,0,1,0,0,0,1,0,0,0,3,0
"#chip.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#chipped",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#CHKV24",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Choosetovaccinate",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ChorAsif.","united states",0,1,0,0,0,0,0,0,0,0,0,0,1
"#ChouBattaritak","france",0,0,1,0,0,0,0,0,0,0,0,0,0
"#CHP",NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"#ChrisGayle",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#chrisrock",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#Christianity","united states",1,1,0,1,1,1,1,1,1,0,1,3,5
"#Christmas","united states",2,0,0,2,1,1,1,1,0,1,0,6,3
"#Christmas",NA,1,0,0,0,2,0,0,1,0,0,0,2,2
"#ChristmasDay","united states",0,0,0,0,1,0,0,0,0,0,0,0,1
"#ChristmasDay.","oman",1,0,0,0,0,0,0,0,0,0,0,1,0
"#chronicillness",NA,0,0,0,0,0,0,0,0,1,0,0,0,0
"#chsnews",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Chunmiaoplan","netherlands",2,1,0,2,1,1,1,2,1,1,0,7,4
"#CIA",NA,0,1,0,0,0,0,0,0,0,0,0,0,1
"#cidrap","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#cierrenwillax","peru",0,0,3,0,0,0,0,0,0,0,0,0,0
"#CiliaFlores","india",2,0,0,1,0,0,0,0,0,0,0,3,0
"#citation",NA,3,0,0,3,1,0,0,3,0,2,1,11,2
"#cities,","malta",0,0,0,2,1,0,0,0,0,0,0,2,1
"#citizens",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Citizens",NA,0,0,0,0,0,0,0,0,1,0,0,0,0
"#citizenshospitals","india",1,0,0,1,0,0,0,0,0,0,0,2,0
"#cityofLA.",NA,2,1,0,0,0,1,1,0,1,1,0,3,3
"#CityOfYes.",NA,2,1,0,1,1,1,1,1,1,2,0,6,4
"#CKCH",NA,1,0,0,0,1,0,0,1,0,1,0,3,1
"#claim-jumping)","united states",1,1,0,1,0,1,0,0,0,0,0,2,2
"#ClasicosDePadre",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#class",NA,3,0,0,1,1,0,0,2,0,1,0,7,1
"#CLIMATE",NA,2,0,0,2,1,1,0,0,0,0,0,4,2
"#clinical","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#clinical",NA,2,0,0,0,1,0,0,0,0,0,0,2,1
"#clinicalefficacy","united states",0,0,0,0,1,0,0,0,0,0,0,0,1
"#ClinicalTrailMode""","united states",0,0,0,1,0,0,0,0,0,0,0,1,0
"#clinicaltrial","india",3,1,0,2,0,1,1,0,0,1,0,6,3
"#clinicaltrial","lebanon",0,0,1,0,0,0,0,0,0,0,0,0,0
"#clinicaltrial",NA,3,0,0,0,0,0,0,0,0,0,0,3,0
"#Clinicaltrial","india",0,2,0,0,1,0,1,0,1,0,0,0,4
"#ClinicalTrial","india",2,0,0,0,0,0,0,0,0,0,0,2,0
"#clinicaltrial.","india",2,0,0,0,1,0,0,0,0,0,0,2,1
"#ClinicalTrial.","united states",0,2,0,0,0,2,1,0,1,1,0,1,5
"#clinicaltrials","india",5,1,1,0,0,1,1,0,1,0,1,5,4
"#clinicaltrials","lebanon",0,0,1,0,0,0,0,0,0,0,0,0,0
"#clinicaltrials","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#clinicaltrials",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#ClinicalTrials","united states",1,1,0,0,0,1,1,0,1,0,1,1,4
"#ClinicalTrials",NA,1,1,0,0,0,1,1,0,1,0,1,1,4
"#clinicaltrials.",NA,1,0,1,1,0,0,0,1,0,0,0,3,0
"#clinicaltrials."".","united states",2,0,0,1,0,0,0,0,0,1,1,4,1
"#Clinton,","italy",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Closure",NA,2,1,0,0,1,1,2,1,1,0,0,3,5
"#clots","united states",2,0,0,1,0,0,0,1,0,0,0,4,0
"#clots",NA,6,2,0,2,1,2,0,2,1,0,0,10,5
"#clotting","sri lanka",2,0,0,1,0,0,0,0,0,0,0,3,0
"#clotting",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#cloud","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Cloud","ireland republic",2,0,0,0,0,0,0,0,0,1,0,3,0
"#Cloud)",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#Cloud.",NA,3,0,0,1,1,0,0,0,0,0,0,4,1
"#clown",NA,4,0,0,2,2,0,0,2,0,2,0,10,2
"#ClubWC.","qatar",0,0,0,0,1,0,0,0,0,0,0,0,1
"#CMCenters","united states",1,0,0,1,0,0,0,0,0,0,0,2,0
"#cmjairamthakur",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#CMO,",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#CNA","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#cnbc","united states",1,0,0,1,1,0,0,1,0,0,0,3,1
"#cnbc",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#CNBC",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#CNBC!","united kingdom",2,0,0,2,2,0,0,2,0,2,1,8,3
"#CNBC...going",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#CNBCTV18Exclusive","india",1,2,1,2,0,1,1,0,1,0,0,3,4
"#CNBCTV18Exclusive",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#cnews.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#cnn",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#CNN","united states",11,3,2,2,3,1,2,2,3,3,0,18,9
"#CNN",NA,1,2,2,0,1,1,1,1,2,2,1,4,6
"#CNN.","united states",1,0,0,0,0,0,0,0,1,0,0,1,0
"#CNNReporters",NA,1,0,2,0,0,0,0,0,0,0,0,1,0
"#CoachellaValley","united states",0,1,1,0,0,1,1,0,1,1,0,1,3
"#coal",NA,1,2,0,0,0,1,2,0,0,0,0,1,5
"#COBID19",NA,1,0,0,1,0,0,1,0,0,0,0,2,1
"#CobraKai",NA,1,0,0,1,1,0,0,1,0,1,0,4,1
"#Cochabamba",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#codeco",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#CodeNewbies.","united states",0,1,0,0,0,0,1,0,1,0,1,0,3
"#coeliac",NA,1,1,0,1,2,1,1,1,1,1,1,4,6
"#coerce","united states",0,2,0,0,0,2,1,0,1,1,1,1,6
"#Coimbatore",NA,3,1,0,2,0,0,0,2,1,0,0,7,1
"#Coimbatore.","india",2,0,0,0,1,0,0,0,0,0,0,2,1
"#Coimbra",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#coimbrasummit",NA,1,0,0,1,0,0,0,1,0,0,0,3,0
"#coivd19",NA,0,5,0,0,0,0,0,0,0,0,0,0,5
"#CokeandKatemine.","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#ColchesterCommunityStadium",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#coldchain","united states",2,1,0,2,1,0,0,1,0,0,0,5,2
"#ColdWar","china",0,0,1,0,0,0,0,0,0,0,0,0,0
"#collaboration,",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#collapse",NA,2,4,0,0,1,4,2,0,1,0,1,2,12
"#college","india",1,0,0,0,2,0,0,1,0,0,0,2,2
"#collincounty",NA,0,1,0,0,0,1,1,0,1,1,1,1,4
"#Colombia","china",5,0,1,1,0,0,0,0,0,0,0,6,0
"#Colombia","philippines",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Colombia","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#Colombia","venezuela",0,1,0,0,0,1,1,0,0,1,0,1,3
"#Colombia",NA,0,0,0,0,1,0,0,0,0,0,0,0,1
"#Colombia!.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Colombia,",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#Colombia.","france",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Colombia.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Colombo","sri lanka",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Colorado","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#Colorado",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Colorado.","united states",3,0,0,1,0,0,0,0,0,0,0,4,0
"#Colorado?",NA,2,0,0,1,1,0,0,1,0,0,0,4,1
"#Columbia",NA,0,1,0,0,0,1,0,0,1,0,0,0,2
"#column","israel",1,0,0,1,0,0,0,0,0,0,0,2,0
"#CombatCOVID","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#cominghomesoon","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#comirnaty","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Comirnaty",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#COMIRNATY","malaysia",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Comirnaty,","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#commercial",NA,2,1,0,1,1,1,0,0,0,0,0,3,3
"#Commission",NA,0,0,0,1,0,0,0,0,0,0,0,1,0
"#Commission's",NA,1,0,0,1,1,0,0,0,0,0,0,2,1
"#committees","netherlands",2,1,0,2,2,0,1,2,1,1,0,7,4
"#Commonwealth",NA,2,0,0,2,1,0,0,1,0,1,0,6,1
"#CommonwealthGames.","ireland republic",0,0,0,1,1,0,0,0,0,0,0,1,1
"#communal",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Communist","india",1,3,0,0,0,0,0,0,1,0,1,1,4
"#Communist",NA,1,1,0,1,0,0,0,0,0,0,0,2,1
"#COMMUNISTCHINA",NA,4,1,0,0,1,0,0,0,1,0,0,4,2
"#communistchina.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#COMMUNISTCHINA.",NA,3,2,0,1,0,0,1,1,1,0,2,5,5
"#communists.","india",1,1,0,1,0,0,0,1,1,0,0,3,1
"#community","united states",3,0,0,1,0,0,0,0,0,0,0,4,0
"#CommunityImmuity","united states",1,0,0,0,0,0,0,0,0,0,0,1,0
"#comorbidites","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#comorbidity",NA,0,1,0,0,0,1,1,0,1,1,0,1,3
"#Companion",NA,3,0,0,1,0,0,0,1,0,0,0,5,0
"#company","india",0,1,0,0,0,0,0,0,0,0,0,0,1
"#company",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#compares","united states",0,0,1,0,0,0,0,0,0,0,0,0,0
"#Concepcion","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#conceptualphoto","united states",1,1,0,0,0,1,1,0,2,1,0,2,3
"#concern",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#Condemic",NA,0,1,0,0,0,1,1,0,0,0,0,0,3
"#Condition","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#conditional","malaysia",2,0,0,0,0,0,0,0,1,0,0,2,0
"#Conference",NA,1,0,0,1,1,0,0,1,0,1,0,4,1
"#CONFIRMED",NA,2,1,0,1,0,0,1,0,0,0,0,3,2
"#Congo","china",2,2,0,0,1,0,0,0,0,0,0,2,3
